id,NameOTF,Cluster
0,Разработка и оформление рабочей документации металлических конструкций (чертежи марки КМ) зданий и сооружений промышленного и гражданского назначения,11
1,Разработка проектной документации металлических конструкций зданий и сооружений промышленного и гражданского назначения,11
2,Техническое руководство процессами разработки и реализации проекта металлических конструкций зданий и сооружений промышленного и гражданского назначения,11
3,Разработка и оформление рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,0
4,Разработка проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,0
5,Техническое руководство процессами разработки и применения проектной и рабочей документации на строительство подземных инженерных коммуникаций с применением бестраншейных технологий,0
6,Разработка и оформление рабочей документации системы электропривода,13
7,Разработка проекта системы электропривода,13
8,Техническое руководство процессами разработки и реализации проекта системы электропривода,2
9,Разработка и оформление рабочей документации строительных конструкций из металлических тонкостенных профилей (чертежи марки КМ и КМД) зданий и сооружений,11
10,Разработка проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,11
11,Техническое руководство процессами разработки и реализации проекта строительных конструкций из металлических тонкостенных профилей зданий и сооружений,2
12,Разработка и оформление рабочей документации системы водоснабжения и водоотведения объекта капитального строительства,6
13,Разработка проектной документации системы водоснабжения и водоотведения объекта капитального строительства,6
14,Техническое руководство процессами разработки и реализации проекта системы водоснабжения и водоотведения объекта капитального строительства,2
15,"Разработка и оформление рабочей документации систем электроснабжения (электроснабжение, освещение, заземление, кабельные и воздушные сети) объектов капитального строительства",6
16,Разработка проектной документации системы электроснабжения объектов капитального строительства,6
17,Техническое руководство процессами разработки и реализации проекта системы электроснабжения объекта капитального строительства,2
18,Разработка и оформление рабочей документации слаботочных систем управления инженерными сетями объекта капитального строительства,6
19,Разработка проектной документации слаботочных систем управления инженерными сетями объекта капитального строительства,6
20,Техническое руководство процессами разработки и реализации проекта слаботочных систем управления инженерными сетями объекта капитального строительства,2
21,"Разработка и оформление рабочей документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",6
22,"Разработка проектной документации систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",6
23,"Техническое руководство процессами разработки и реализации проекта систем отопления, вентиляции и кондиционирования воздуха объекта капитального строительства",2
24,Разработка и оформление рабочей документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,6
25,Разработка проектной документации системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,6
26,Техническое руководство процессами разработки и реализации проекта системы газоснабжения (сетей газораспределения и газопотребления) объектов капитального строительства,2
27,Выполнение работ по подготовке проектной продукции по отдельным узлам и элементам мостовых сооружений,1
28,Выполнение работ по подготовке проектной продукции по мостовым сооружениям в целом,1
29,Руководство деятельностью работников или группы работников в составе подразделения по подготовке проектной продукции по мостовым сооружениям,1
30,Инженерно-техническое сопровождение подготовки проектной продукции по мостовым сооружениям,1
31,Руководство деятельностью подразделения по подготовке проектной продукции по мостовым сооружениям,1
32,Техническое сопровождение информационного моделирования ОКС,14
33,Разработка и использование структурных элементов информационной модели ОКС на этапе его жизненного цикла,14
34,Организация разработки и использования структурных элементов информационной модели ОКС на этапе его жизненного цикла,14
35,Управление процессами информационного моделирования ОКС на этапах его жизненного цикла,14
36,"Управление деятельностью по внедрению, поддержке и развитию технологий информационного моделирования ОКС на уровне организации",14
37,Выполнение работ по подготовке проектной продукции по отдельным узлам и элементам автомобильных дорог,1
38,Выполнение работ по подготовке проектной продукции по автомобильным дорогам в целом,1
39,Руководство деятельностью работников или группы работников в составе подразделения по подготовке проектной продукции по автомобильным дорогам,1
40,Инженерно-техническое сопровождение подготовки проектной продукции по автомобильным дорогам,1
41,Руководство деятельностью подразделения по подготовке проектной продукции по автомобильным дорогам,1
42,Организация архитектурно-строительного проектирования объектов капитального строительства,6
43,"Управление процессом архитектурно-строительного проектирования объектов капитального строительства особо опасных, технически-сложных и уникальных объектов, за исключением объектов использования атомной энергии",5
44,Подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструкции железобетонные»,7
45,Расчеты бетонных и железобетонных конструкций и подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструкции железобетонные»,7
46,Предпроектная подготовка к проектированию раздела «Конструкции железобетонные» и разработка специальных технических условий на проектирование раздела «Конструкции железобетонные»,9
47,Руководство проектным подразделением по подготовке проектной или рабочей документации раздела «Конструкции железобетонные»,7
48,Подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструкции деревянные»,7
49,Расчеты деревянных и металлодеревянных конструкций и подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструкции деревянные»,7
50,Предпроектная подготовка раздела «Конструкции деревянные» и разработка специальных технических условий на проектирование раздела «Конструкции деревянные» уникальных объектов,9
51,Руководство проектным подразделением по подготовке проектной или рабочей документации раздела «Конструкции деревянные»,7
52,Подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструкции из полимерных и композиционных материалов»,7
53,Расчеты конструкций из полимерных и композиционных материалов и подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструкции из полимерных и композиционных материалов»,7
54,Предпроектная подготовка к проектированию раздела «Конструкции из полимерных и композиционных материалов» и разработка специальных технических условий на проектирование раздела «Конструкции из полимерных и композиционных материалов»,9
55,Руководство проектным подразделением по подготовке проектной или рабочей документации раздела «Конструкции из полимерных и композиционных материалов»,7
56,Подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструктивные решения строительных конструкций из штучных материалов»,7
57,Расчеты конструкций из штучных материалов и подготовка текстовой и графической частей рабочей или проектной документации раздела «Конструктивные решения строительных конструкций из штучных материалов»,7
58,Предпроектная подготовка к проектированию раздела «Конструктивные решения» и разработка специальных технических условий на проектирование раздела «Конструктивные решения строительных конструкций из штучных материалов»,9
59,Руководство проектным подразделением по подготовке проектной или рабочей документации раздела «Конструктивные решения строительных конструкций из штучных материалов»,7
60,"Подготовка проектной и рабочей документации на отдельные узлы и элементы, на планы и профили наружных сетей водоснабжения, водоотведения и канализации",11
61,"Принятие основных технических решений по наружным сетям водоснабжения, водоотведения и канализации",2
62,"Руководство проектным подразделением по разработке проектной и рабочей документации на наружные сети водоснабжения, водоотведения и канализации",2
63,Выполнение работ по подготовке проектной продукции по отдельным узлам и элементам транспортных тоннелей,1
64,Выполнение работ по подготовке проектной продукции по транспортным тоннелям в целом,1
65,Руководство деятельностью работников или группы работников в составе подразделения по подготовке проектной продукции по транспортным тоннелям,1
66,Инженерно-техническое сопровождение подготовки проектной продукции по транспортным тоннелям,1
67,Руководство деятельностью подразделения по подготовке проектной продукции по транспортным тоннелям,1
68,Оформление технической документации на различных стадиях разработки проекта систем противопожарной защиты,5
69,Проектирование автоматики систем противопожарной защиты,5
70,Проектирование технологической части систем противопожарной защиты,5
71,Координация проектирования систем противопожарной защиты,5
72,Руководство проектным подразделением по разработке систем противопожарной защиты,5
73,"Подготовка материалов и документов, необходимых для начала реализации инвестиционно-строительного проекта, информирование застройщика о ходе реализации проекта",8
74,Инженерно-техническое сопровождение строительства на всех этапах жизненного цикла объекта капитального строительства или линейного объекта,2
75,Управление деятельностью службы (подразделениями) технического заказчика,9
76,Организация и контроль дорожно-строительных работ на участке строительства объектов дорожного хозяйства,3
77,Организация и контроль производственно-хозяйственной деятельности в процессе строительства объектов дорожного хозяйства,3
